size(byte)	cam_time_sent	edge_time_arv	edge_time_sent	telegram_time_arv			
68315	12:06:23	12:06:25	12:06:25	12:06:28	0:00:02	0:00:00	0:00:05
70370	12:07:28	12:07:29	12:07:30	12:07:32	0:00:01	0:00:01	0:00:04
66311	12:09:45	12:09:49	12:09:49	12:09:53	0:00:04	0:00:00	0:00:08
66142	12:11:30	12:11:33	12:11:34	12:11:38	0:00:03	0:00:01	0:00:08
66791	12:11:51	12:11:53	12:11:53	12:11:55	0:00:02	0:00:00	0:00:04
62744	12:11:55	12:11:58	12:11:58	12:12:00	0:00:03	0:00:00	0:00:05
63791	12:12:22	12:12:26	12:12:26	12:12:28	0:00:04	0:00:00	0:00:06
65640	12:12:37	12:12:39	12:12:40	12:12:42	0:00:02	0:00:01	0:00:05
65711	12:12:41	12:12:44	12:12:44	12:12:50	0:00:03	0:00:00	0:00:09
65739	12:12:53	12:12:54	12:12:55	12:12:57	0:00:01	0:00:01	0:00:04
65911	12:13:35	12:13:36	12:13:37	12:13:40	0:00:01	0:00:01	0:00:05
63744	12:15:22	12:15:26	12:15:26	12:15:28	0:00:04	0:00:00	0:00:06
77540	12:18:48	12:18:49	12:18:50	12:18:51	0:00:01	0:00:01	0:00:03
64435	12:18:52	12:18:54	12:18:54	12:18:56	0:00:02	0:00:00	0:00:04
67894	12:22:49	12:22:52	12:22:52	12:22:54	0:00:03	0:00:00	0:00:05
67944	12:22:54	12:22:57	12:22:57	12:23:00	0:00:03	0:00:00	0:00:06
61595	12:25:04	12:25:06	12:25:06	12:25:08	0:00:02	0:00:00	0:00:04
61184	12:25:12	12:25:16	12:25:16	12:25:18	0:00:04	0:00:00	0:00:06
63332	12:25:18	12:25:20	12:25:21	12:25:23	0:00:02	0:00:01	0:00:05
60779	12:27:40	12:27:42	12:27:42	12:27:44	0:00:02	0:00:00	0:00:04
61193	12:27:54	12:27:56	12:27:56	12:27:58	0:00:02	0:00:00	0:00:04
60196	12:28:19	12:28:21	12:28:22	12:28:23	0:00:02	0:00:01	0:00:04
57597	12:28:27	12:28:29	12:28:29	12:28:32	0:00:02	0:00:00	0:00:05
58274	12:28:51	12:28:52	12:28:53	12:28:55	0:00:01	0:00:01	0:00:04
58087	12:28:57	12:28:59	12:29:00	12:29:02	0:00:02	0:00:01	0:00:05
58533	12:29:01	12:29:03	12:29:04	12:29:05	0:00:02	0:00:01	0:00:04
60673	12:29:11	12:29:13	12:29:14	12:29:15	0:00:02	0:00:01	0:00:04
60355	12:29:15	12:29:17	12:29:18	12:29:19	0:00:02	0:00:01	0:00:04
59951	12:29:22	12:29:24	12:29:25	12:29:27	0:00:02	0:00:01	0:00:05
58952	12:29:27	12:29:28	12:29:29	12:29:31	0:00:01	0:00:01	0:00:04
61064	12:29:38	12:29:39	12:29:40	12:29:44	0:00:01	0:00:01	0:00:06
61150	12:32:14	12:32:16	12:32:16	12:32:18	0:00:02	0:00:00	0:00:04
60318	12:32:20	12:32:22	12:32:22	12:32:24	0:00:02	0:00:00	0:00:04
61629	12:32:49	12:32:52	12:32:53	12:32:57	0:00:03	0:00:01	0:00:08
62852	12:33:40	12:33:42	12:33:43	12:33:45	0:00:02	0:00:01	0:00:05
60428	12:33:46	12:33:49	12:33:50	12:33:53	0:00:03	0:00:01	0:00:07
62871	12:33:51	12:33:53	12:33:54	12:33:57	0:00:02	0:00:01	0:00:06
63834	12:33:58	12:34:02	12:34:02	12:34:06	0:00:04	0:00:00	0:00:08
62675	12:34:05	12:34:08	12:34:08	12:34:11	0:00:03	0:00:00	0:00:06
63279	12:34:12	12:34:18	12:34:18	12:34:20	0:00:06	0:00:00	0:00:08
63104	12:34:19	12:34:20	12:34:21	12:34:22	0:00:01	0:00:01	0:00:03
64246	12:35:39	12:35:41	12:35:41	12:35:44	0:00:02	0:00:00	0:00:05
65722	12:35:48	12:35:51	12:35:51	12:35:55	0:00:03	0:00:00	0:00:07
67434	12:35:54	12:35:56	12:35:57	12:36:01	0:00:02	0:00:01	0:00:07
68364	12:36:20	12:36:22	12:36:23	12:36:25	0:00:02	0:00:01	0:00:05
					0:00:02	0:00:01	0:00:05
